CEID1,CEID2,CEID3,CEID4,CEID5,CEID6,CEID7,CEID8,CEID9,CEID10,CEID11,ce_name
1,1010001,70001,40001,80001,4026540001,80001,151309001,20001,100001,60001,ControlStateEqOffline
2,1010002,70002,40002,80002,4026540002,80002,151309002,20002,100002,60002,ControlStateHostOffline
3,1010003,70003,40003,80003,4026540003,80003,151309003,20003,100003,60003,ControlStateLocal
4,1010004,70004,40004,80004,4026540004,80004,151309004,20004,100004,60004,ControlStateRemote
5,1010005,70005,40005,80005,4026540005,80005,151309005,20005,100005,60005,CommStateCommunicating
9,1010009,70009,40009,80009,4026540009,80009,151309009,20009,100009,60009,ECChanged
10,1010010,70010,40010,80010,4026540010,80010,151309010,20010,100010,60010,RecipeModified
11,1010011,70011,40011,80011,4026540011,80011,151309011,20011,100011,60011,TraceEnd
12,1010012,70012,40012,80012,4026540012,80012,151309012,20012,100012,60012,SpoolingDeactivated
13,1010013,70013,40013,80013,4026540013,80013,151309013,20013,100013,60013,SpoolingActivated
14,1010014,70014,40014,80014,4026540014,80014,151309014,20014,100014,60014,LimitChecked
15,1010015,70015,40015,80015,4026540015,80015,151309015,20015,100015,60015,AlarmStateAlarm
16,1010016,70016,40016,80016,4026540016,80016,151309016,20016,100016,60016,AlarmStateNoAlarm
20,1010020,70020,40020,80020,4026540020,80020,151309020,20020,100020,60020,ProcessingStateIdle
21,1010021,70021,40021,80021,4026540021,80021,151309021,20021,100021,60021,ProcessingStateSetup
22,1010022,70022,40022,80022,4026540022,80022,151309022,20022,100022,60022,ProcessingStateReady
23,1010023,70023,40023,80023,4026540023,80023,151309023,20023,100023,60023,ProcessingStateExcuting
24,1010024,70024,40024,80024,4026540024,80024,151309024,20024,100024,60024,ProcessingStatePause
101,1010101,70101,40101,80101,4026540101,80101,151309101,20101,100101,60101,ProcessJobQueued
102,1010102,70102,40102,80102,4026540102,80102,151309102,20102,100102,60102,ProcessJobSettingUp
103,1010103,70103,40103,80103,4026540103,80103,151309103,20103,100103,60103,ProcessJobWaitingForHost
104,1010104,70104,40104,80104,4026540104,80104,151309104,20104,100104,60104,ProcessJobProcessing
105,1010105,70105,40105,80105,4026540105,80105,151309105,20105,100105,60105,ProcessJobProcessComplete
106,1010106,70106,40106,80106,4026540106,80106,151309106,20106,100106,60106,ProcessJobStopping
107,1010107,70107,40107,80107,4026540107,80107,151309107,20107,100107,60107,ProcessJobPausing
108,1010108,70108,40108,80108,4026540108,80108,151309108,20108,100108,60108,ProcessJobPaused
109,1010109,70109,40109,80109,4026540109,80109,151309109,20109,100109,60109,ProcessJobAborting
110,1010110,70110,40110,80110,4026540110,80110,151309110,20110,100110,60110,ProcessJobComplete
201,1010201,70201,40201,80201,4026540201,80201,151309201,20201,100201,60201,ControlJobQueued
202,1010202,70202,40202,80202,4026540202,80202,151309202,20202,100202,60202,ControlJobSelected
203,1010203,70203,40203,80203,4026540203,80203,151309203,20203,100203,60203,ControlJobWaitingForHost
204,1010204,70204,40204,80204,4026540204,80204,151309204,20204,100204,60204,ControlJobExecuting
205,1010205,70205,40205,80205,4026540205,80205,151309205,20205,100205,60205,ControlJobPaused
206,1010206,70206,40206,80206,4026540206,80206,151309206,20206,100206,60206,ControlJobCompleted
207,1010207,70207,40207,80207,4026540207,80207,151309207,20207,100207,60207,ControlJobAborted
208,1010208,70208,40208,80208,4026540208,80208,151309208,20208,100208,60208,ControlJobStopped
209,1010209,70209,40209,80209,4026540209,80209,151309209,20209,100209,60209,ControlJobCarrierComplete
210,1010210,70210,40210,80210,4026540210,80210,151309210,20210,100210,60210,ControlJobResumed
301,1010301,70301,40301,80301,4026540301,80301,151309301,20301,100301,60301,MouleJobSequenceJobStart
302,1010302,70302,40302,80302,4026540302,80302,151309302,20302,100302,60302,ModuleJobSequenceJobEnd
